capture_timestamp,target_pos_x,target_pos_y,target_pos_z,target_orient_x,target_orient_y,target_orient_z,target_orient_w,kinematic_pos_x,kinematic_pos_y,kinematic_pos_z,kinematic_orient_x,kinematic_orient_y,kinematic_orient_z,kinematic_orient_w,ik_solver_delay_ms,e2e_latency_at_control_ms,e2e_latency_at_eval_ms,sync_delta_ms
1768077595.4070988,0.26866532172198127,0.1361772214995174,0.4415069805825215,0.009978773104085946,0.6913021333478865,-0.0486117411669585,0.7208596833897112,0.26855994717429116,0.13601159058568438,0.4413512835302247,0.01160708212021388,0.6928853986302963,-0.04779785414414796,0.7193681012866812,0.017461,10.15417,10.811982,-56.488752365112305
1768077595.4461346,0.2685810034299067,0.13613794351082686,0.4415544391714107,0.009984434209842139,0.6912964717847342,-0.048608211666393245,0.7208652723845715,0.26855994717429116,0.13601159058568438,0.4413512835302247,0.01160708212021388,0.6928853986302963,-0.04779785414414796,0.7193681012866812,0.027257999999999998,4.456332000000001,4.942248,-28.914928436279297
1768077595.4461346,0.2685810034299067,0.13613794351082686,0.4415544391714107,0.009984434209842139,0.6912964717847342,-0.048608211666393245,0.7208652723845715,0.26855994717429116,0.13601159058568438,0.4413512835302247,0.01160708212021388,0.6928853986302963,-0.04779785414414796,0.7193681012866812,0.036001000000000005,37.770846,38.33373,-28.914928436279297
1768077595.5139308,0.2684781836686806,0.1362352233182344,0.4416380474614157,0.010131821209820082,0.691105405382382,-0.048370306697495306,0.7210623955527121,0.26855994717429116,0.13601159058568438,0.4413512835302247,0.01160708212021388,0.6928853986302963,-0.04779785414414796,0.7193681012866812,0.043796,3.446566,4.192721,-30.06720542907715
1768077595.5139308,0.2684781836686806,0.1362352233182344,0.4416380474614157,0.010131821209820082,0.691105405382382,-0.048370306697495306,0.7210623955527121,0.26855994717429116,0.13601159058568438,0.4413512835302247,0.01160708212021388,0.6928853986302963,-0.04779785414414796,0.7193681012866812,0.031343,36.718833,37.205924,-30.06720542907715
1768077595.5822046,0.26834886605307773,0.13621982553143763,0.44158825323497536,0.009841529148518546,0.6907384287644387,-0.04828999757993349,0.7214233455231285,0.26855994717429116,0.13601159058568438,0.4413512835302247,0.01160708212021388,0.6928853986302963,-0.04779785414414796,0.7193681012866812,0.027263,1.669515,2.142248,-31.59308433532715
1768077595.5822046,0.26834886605307773,0.13621982553143763,0.44158825323497536,0.009841529148518546,0.6907384287644387,-0.04828999757993349,0.7214233455231285,0.26855994717429116,0.13601159058568438,0.4413512835302247,0.01160708212021388,0.6928853986302963,-0.04779785414414796,0.7193681012866812,0.02439,35.061532,35.589254,-31.59308433532715
1768077595.6276176,0.2683089236548145,0.13618765584805703,0.44153355350062634,0.009478957217730012,0.6905816414384951,-0.04845399583819904,0.7215672915019706,0.26855994717429116,0.13601159058568438,0.4413512835302247,0.01160708212021388,0.6928853986302963,-0.04779785414414796,0.7193681012866812,0.025359,23.038047,23.635082,-10.386228561401367
1768077595.650574,0.26822405987419007,0.1361641491886883,0.44149523727206136,0.008998358556070304,0.6903964300398927,-0.04865545350396557,0.7217371029507843,0.26855994717429116,0.13601159058568438,0.4413512835302247,0.01160708212021388,0.6928853986302963,-0.04779785414414796,0.7193681012866812,0.030453,33.319542,33.764323,-33.342599868774414
1768077595.6842163,0.2681629911870488,0.13614740876436676,0.4414671669963437,0.008647590307712172,0.6902611070850232,-0.04880247769382635,0.7218608878437531,0.26855994717429116,0.13601159058568438,0.4413512835302247,0.01160708212021388,0.6928853986302963,-0.04779785414414796,0.7193681012866812,0.034312,33.079947,33.637182,-0.3612041473388672
1768077595.717153,0.2681336949405701,0.13622091062078268,0.4414334504766373,0.008204708477905854,0.6898543928537701,-0.048894479693565134,0.7222485232069665,0.26855994717429116,0.13601159058568438,0.4413512835302247,0.01160708212021388,0.6928853986302963,-0.04779785414414796,0.7193681012866812,0.135961,33.690761,34.197778,-33.29801559448242
1768077595.7519746,0.2680973791335774,0.1362441153933568,0.4413946111920476,0.00785230609632329,0.6896295756205437,-0.04903147398510847,0.7224578217980937,0.2681299988246498,0.1362271116600568,0.44142951085218696,0.008184386433196382,0.6898637323530111,-0.048880177136223724,0.7222408011777073,0.13341699999999998,32.017706,32.567522,-1.1768341064453125
1768077595.7957325,0.26818192095616283,0.13631718875956916,0.4413655192153007,0.007459880182267432,0.6894793458507879,-0.0491575382189876,0.7225967881668761,0.2681299988246498,0.1362271116600568,0.44142951085218696,0.008184386433196382,0.6898637323530111,-0.048880177136223724,0.7222408011777073,0.026604000000000003,21.530991,22.136228,-44.934749603271484
